1ведьма ведьмы ведьмой ведьме
0оборотень оборотня оборотнем оборотне
0монстр монстра монстром монстре
0единорог единорога единорогом единороге
0коллекционер коллекционера коллекционером коллекционеру
0житель жителя жителем жителе
0человек человека человеком человеке
1рука руки рукой руке
2дерево дерева деревом дереве
0глаз глаза глазом глазе
0дом дома домом доме
1страна страны страной стране
0мир мира миром мире
0ребенок ребенка ребенком ребенке
1сила силы силой силе
1дверь двери дверью двери
0бог бога богом боге
1книга книги книгой книге
1кошка кошки кошкой кошке
1собака собаки собакой собаке
0попугай попугая попугаем попугае
0заяц зайца зайцем зайце
0хомяк хомяка хомяком хомяке
0крокодил крокодила крокодилом крокодиле
0хорёк хорька хорьком хорьке
0бизон бизона бизоном бионе
0дельфин дельфина дельфином дельфине
0орёл орла орлом орле
0пони пони пони пони
1обезьяна обезьяны обезьяной обезьяне
0омар омара омаром омаре
1корова коровы коровой корове
0олень оленя оленем олене
1утка утки уткой утке
0кролик кролика кроликом кролике
0паук паука пауком пауке
0волк волка волком волке
1индейка индейки индейкой индейке
0лев льва львом льве
1свинья свиньи свиньей свинье
1змея змеи змеёй змее
1акула акулы акулой акуле
0медведь медведя медведем медведе
0кенгуру кенгуру кенгуру кенгуру
1рыба рыбы рыбой рыбе
1курица курицы курицой курице
1лошадь лошади лошадью лошади
0ёж ежа ежом еже
0робот робота роботом роботе
0фламинго фламинго фламинго фламинго
2варенье варенья вареньем варенье
